년,월,국적지역,입국자수
2024,1,나이지리아,203
2024,2,나이지리아,209
2024,3,나이지리아,211
2024,4,나이지리아,152
2024,5,나이지리아,178
2024,6,나이지리아,188
2024,7,나이지리아,153
2024,8,나이지리아,263
2024,9,나이지리아,308
2024,10,나이지리아,239
2024,11,나이지리아,267
2024,12,나이지리아,133
2023,1,남수단공화국,1
2023,2,남수단공화국,5
2023,4,남수단공화국,1
2023,5,남수단공화국,2
2023,6,남수단공화국,1
2023,7,남수단공화국,8
2023,8,남수단공화국,5
2023,9,남수단공화국,10
2023,10,남수단공화국,2
2023,11,남수단공화국,3
2023,12,남수단공화국,1
2024,1,남수단공화국,2
2024,2,남수단공화국,3
2024,3,남수단공화국,2
2024,4,남수단공화국,2
2024,5,남수단공화국,2
2024,6,남수단공화국,18
2024,7,남수단공화국,3
2024,8,남수단공화국,3
2024,9,남수단공화국,5
2024,10,남수단공화국,5
2024,11,남수단공화국,2
2024,12,남수단공화국,4
2023,1,남아프리카공화국,859
2023,2,남아프리카공화국,970
2023,3,남아프리카공화국,802
2023,4,남아프리카공화국,1098
2023,5,남아프리카공화국,1001
2023,6,남아프리카공화국,1015
2023,7,남아프리카공화국,1435
2023,8,남아프리카공화국,1571
2023,9,남아프리카공화국,1085
2023,10,남아프리카공화국,1323
2023,11,남아프리카공화국,887
2023,12,남아프리카공화국,958
2024,1,남아프리카공화국,1088
2024,2,남아프리카공화국,1446
2024,3,남아프리카공화국,1386
2024,4,남아프리카공화국,1533
2024,5,남아프리카공화국,1223
2024,6,남아프리카공화국,1281
2024,7,남아프리카공화국,1341
2024,8,남아프리카공화국,2279
2024,9,남아프리카공화국,1644
2024,10,남아프리카공화국,1674
2024,11,남아프리카공화국,982
2024,12,남아프리카공화국,1082
2023,1,네덜란드,2179
2023,2,네덜란드,2910
2023,3,네덜란드,3982
2023,4,네덜란드,4811
2023,5,네덜란드,4387
2023,6,네덜란드,3512
2023,7,네덜란드,6887
2023,8,네덜란드,5235
2023,9,네덜란드,4621
2023,10,네덜란드,4882
2023,11,네덜란드,3718
2023,12,네덜란드,2612
2024,1,네덜란드,2514
2024,2,네덜란드,2641
2024,3,네덜란드,3991
2024,4,네덜란드,6598
2024,5,네덜란드,5642
2024,6,네덜란드,3704
2024,7,네덜란드,5649
2024,8,네덜란드,5941
2024,9,네덜란드,5254
2024,10,네덜란드,5955
2024,11,네덜란드,4398
2024,12,네덜란드,3285
2023,1,네팔,2570
2023,2,네팔,3622
2023,3,네팔,3995
2023,4,네팔,2872
2023,5,네팔,3755
2023,6,네팔,3925
2023,7,네팔,3562
2023,8,네팔,3991
2023,9,네팔,2011
2023,10,네팔,1898
2023,11,네팔,2320
2023,12,네팔,3674
2024,1,네팔,3779
2024,2,네팔,3654
2024,3,네팔,3957
2024,4,네팔,2649
2024,5,네팔,2811
2024,6,네팔,2756
2024,7,네팔,3050
2024,8,네팔,4918
2024,9,네팔,3743
2024,10,네팔,2987
2024,11,네팔,3611
2024,12,네팔,3534
2023,1,노르웨이,546
2023,2,노르웨이,513
2023,3,노르웨이,1012
2023,4,노르웨이,1013
2023,5,노르웨이,751
2023,6,노르웨이,1173
2023,7,노르웨이,1982
2023,8,노르웨이,751
2023,9,노르웨이,797
2023,10,노르웨이,1068
2023,11,노르웨이,776
2023,12,노르웨이,512
2024,1,노르웨이,685
2024,2,노르웨이,605
2024,3,노르웨이,1456
2024,4,노르웨이,1061
2024,5,노르웨이,883
2024,6,노르웨이,1278
2024,7,노르웨이,1624
2024,8,노르웨이,857
2024,9,노르웨이,1173
2024,10,노르웨이,1130
2024,11,노르웨이,947
2024,12,노르웨이,771
2023,3,노퍽,2
2023,4,노퍽,1
2023,5,노퍽,3
2024,4,노퍽,3
2023,1,뉴질랜드,2662
2023,2,뉴질랜드,1718
2023,3,뉴질랜드,2692
2023,4,뉴질랜드,4243
2023,5,뉴질랜드,3265
2023,6,뉴질랜드,3646
2023,7,뉴질랜드,3266
2023,8,뉴질랜드,2709
2023,9,뉴질랜드,4208
2023,10,뉴질랜드,4213
2023,11,뉴질랜드,3645
2023,12,뉴질랜드,4374
2024,1,뉴질랜드,3228
2024,2,뉴질랜드,2194
2024,3,뉴질랜드,4009
2024,4,뉴질랜드,3993
2024,5,뉴질랜드,3337
2024,6,뉴질랜드,3225
2024,7,뉴질랜드,2736
2024,8,뉴질랜드,2885
2024,9,뉴질랜드,3718
2024,10,뉴질랜드,4899
2024,11,뉴질랜드,3887
2024,12,뉴질랜드,4830
2024,5,뉴칼레도니아,1
2023,1,니제르,2
2023,2,니제르,1
2023,3,니제르,1
2023,4,니제르,2
2023,5,니제르,8
2023,6,니제르,2
2023,7,니제르,7
2023,9,니제르,3
2023,10,니제르,3
2023,11,니제르,3
2024,2,니제르,3
2024,3,니제르,1
2024,4,니제르,4
2024,5,니제르,5
2024,6,니제르,1
2024,7,니제르,3
2024,8,니제르,3
2024,9,니제르,9
2024,10,니제르,1
2024,11,니제르,3
2023,1,니카라과,10
2023,2,니카라과,6
2023,3,니카라과,57
2023,4,니카라과,110
2023,5,니카라과,105
2023,6,니카라과,96
2023,7,니카라과,111
2023,8,니카라과,60
2023,9,니카라과,44
2023,10,니카라과,57
2023,11,니카라과,39
2023,12,니카라과,11
2024,1,니카라과,5
2024,2,니카라과,17
2024,3,니카라과,87
2024,4,니카라과,52
2024,5,니카라과,43
2024,6,니카라과,35
2024,7,니카라과,58
2024,8,니카라과,72
2024,9,니카라과,40
2024,10,니카라과,39
2024,11,니카라과,24
2024,12,니카라과,9
2023,1,대만,51099
2023,2,대만,49131
2023,3,대만,64673
2023,4,대만,78362
2023,5,대만,68065
2023,6,대만,98767
2023,7,대만,105188
2023,8,대만,100709
2023,9,대만,93899
2023,10,대만,98651
2023,11,대만,118680
2023,12,대만,116423
2024,1,대만,117164
2024,2,대만,98817
2024,3,대만,117299
2024,4,대만,119288
2024,5,대만,118782
2024,6,대만,145988
2024,7,대만,144637
2024,8,대만,150714
2024,9,대만,128314
2024,10,대만,135183
2024,11,대만,121248
2024,12,대만,120359
2023,1,덴마크,532
2023,2,덴마크,491
2023,3,덴마크,1350
2023,4,덴마크,1350
2023,5,덴마크,1057
2023,6,덴마크,961
2023,7,덴마크,2029
2023,8,덴마크,1063
2023,9,덴마크,1319
2023,10,덴마크,1876
2023,11,덴마크,1157
2023,12,덴마크,646
2024,1,덴마크,779
2024,2,덴마크,638
2024,3,덴마크,1730
2024,4,덴마크,1573
2024,5,덴마크,1379
2024,6,덴마크,1057
2024,7,덴마크,1707
2024,8,덴마크,1377
2024,9,덴마크,1542
2024,10,덴마크,2078
2024,11,덴마크,1316
2024,12,덴마크,873
2023,1,도미니카공화국,57
2023,2,도미니카공화국,63
2023,3,도미니카공화국,91
2023,4,도미니카공화국,113
2023,5,도미니카공화국,121
2023,6,도미니카공화국,92
2023,7,도미니카공화국,135
2023,8,도미니카공화국,127
2023,9,도미니카공화국,116
2023,10,도미니카공화국,165
2023,11,도미니카공화국,90
2023,12,도미니카공화국,49
2024,1,도미니카공화국,87
2024,2,도미니카공화국,101
2024,3,도미니카공화국,191
2024,4,도미니카공화국,206
2024,5,도미니카공화국,129
2024,6,도미니카공화국,147
2024,7,도미니카공화국,106
2024,8,도미니카공화국,226
2024,9,도미니카공화국,160
2024,10,도미니카공화국,201
2024,11,도미니카공화국,120
2024,12,도미니카공화국,78
2023,1,도미니카연방,14
2023,2,도미니카연방,26
2023,3,도미니카연방,28
2023,4,도미니카연방,33
2023,5,도미니카연방,38
2023,6,도미니카연방,30
2023,7,도미니카연방,48
2023,8,도미니카연방,48
2023,9,도미니카연방,41
2023,10,도미니카연방,57
2023,11,도미니카연방,52
2023,12,도미니카연방,24
2024,1,도미니카연방,18
2024,2,도미니카연방,17
2024,3,도미니카연방,58
2024,4,도미니카연방,51
2024,5,도미니카연방,58
2024,6,도미니카연방,35
2024,7,도미니카연방,52
2024,8,도미니카연방,61
2024,9,도미니카연방,63
2024,10,도미니카연방,63
2024,11,도미니카연방,50
2024,12,도미니카연방,48
2023,1,독일,5444
2023,2,독일,6299
2023,3,독일,12199
2023,4,독일,18609
2023,5,독일,11861
2023,6,독일,9227
2023,7,독일,11751
2023,8,독일,13061
2023,9,독일,14622
2023,10,독일,14339
2023,11,독일,9889
2023,12,독일,7205
2024,1,독일,6650
2024,2,독일,7371
2024,3,독일,18755
2024,4,독일,21457
2024,5,독일,15331
2024,6,독일,10225
2024,7,독일,10785
2024,8,독일,14700
2024,9,독일,16997
2024,10,독일,17854
2024,11,독일,10799
2024,12,독일,8339
2023,1,라오스,777
2023,2,라오스,1140
2023,3,라오스,979
2023,4,라오스,1653
2023,5,라오스,1276
2023,6,라오스,836
2023,7,라오스,834
2023,8,라오스,991
2023,9,라오스,767
2023,10,라오스,1202
2023,11,라오스,985
2023,12,라오스,1220
2024,1,라오스,988
2024,2,라오스,1462
2024,3,라오스,1992
2024,4,라오스,3733
2024,5,라오스,2222
2024,6,라오스,1087
2024,7,라오스,1421
2024,8,라오스,1397
2024,9,라오스,1404
2024,10,라오스,1680
2024,11,라오스,1544
2024,12,라오스,1587
2023,1,라이베리아,13
2023,2,라이베리아,16
2023,3,라이베리아,13
2023,4,라이베리아,18
2023,5,라이베리아,8
2023,6,라이베리아,13
2023,7,라이베리아,36
2023,8,라이베리아,36
2023,9,라이베리아,13
2023,10,라이베리아,7
2023,11,라이베리아,7
2023,12,라이베리아,7
2024,1,라이베리아,11
2024,2,라이베리아,18
2024,3,라이베리아,13
2024,4,라이베리아,20
2024,5,라이베리아,26
2024,6,라이베리아,38
2024,7,라이베리아,26
2024,8,라이베리아,12
2024,9,라이베리아,17
2024,10,라이베리아,13
2024,11,라이베리아,13
2024,12,라이베리아,11
2023,1,라트비아,128
2023,2,라트비아,120
2023,3,라트비아,205
2023,4,라트비아,236
2023,5,라트비아,203
2023,6,라트비아,162
2023,7,라트비아,199
2023,8,라트비아,137
2023,9,라트비아,159
2023,10,라트비아,251
2023,11,라트비아,195
2023,12,라트비아,137
2024,1,라트비아,216
2024,2,라트비아,203
2024,3,라트비아,308
2024,4,라트비아,332
2024,5,라트비아,207
2024,6,라트비아,219
2024,7,라트비아,179
2024,8,라트비아,235
2024,9,라트비아,330
2024,10,라트비아,379
2024,11,라트비아,239
2024,12,라트비아,198
2023,1,러시아,9738
2023,2,러시아,9516
2023,3,러시아,13554
2023,4,러시아,15630
2023,5,러시아,14503
2023,6,러시아,14878
2023,7,러시아,16114
2023,8,러시아,15073
2023,9,러시아,14486
2023,10,러시아,16158
2023,11,러시아,13310
2023,12,러시아,12257
2024,1,러시아,12304
2024,2,러시아,11197
2024,3,러시아,17247
2024,4,러시아,19703
2024,5,러시아,17814
2024,6,러시아,16270
2024,7,러시아,21478
2024,8,러시아,19827
2024,9,러시아,19061
2024,10,러시아,21402
2024,11,러시아,15353
2024,12,러시아,12925
2023,1,레바논,36
2023,2,레바논,61
2023,3,레바논,65
2023,4,레바논,57
2023,5,레바논,139
2023,6,레바논,76
2023,7,레바논,93
2023,8,레바논,83
2023,9,레바논,101
2023,10,레바논,119
2023,11,레바논,111
2023,12,레바논,46
2024,1,레바논,54
2024,2,레바논,66
2024,3,레바논,68
2024,4,레바논,127
2024,5,레바논,145
2024,6,레바논,101
2024,7,레바논,94
2024,8,레바논,91
2024,9,레바논,113
2024,10,레바논,117
2024,11,레바논,87
2024,12,레바논,95
2023,1,레소토,3
2023,2,레소토,3
2023,3,레소토,2
2023,4,레소토,2
2023,6,레소토,11
2023,7,레소토,24
2023,8,레소토,17
2023,9,레소토,15
2023,10,레소토,5
2023,11,레소토,6
2023,12,레소토,1
2024,1,레소토,6
2024,2,레소토,7
2024,3,레소토,5
2024,4,레소토,11
2024,5,레소토,5
2024,6,레소토,29
2024,7,레소토,5
2024,8,레소토,8
2024,9,레소토,5
2024,10,레소토,23
2024,11,레소토,5
2024,12,레소토,7
2023,1,루마니아,419
2023,2,루마니아,494
2023,3,루마니아,1007
2023,4,루마니아,1352
2023,5,루마니아,1036
2023,6,루마니아,876
2023,7,루마니아,917
2023,8,루마니아,966
2023,9,루마니아,1374
2023,10,루마니아,1720
2023,11,루마니아,1126
2023,12,루마니아,718
2024,1,루마니아,669
2024,2,루마니아,727
2024,3,루마니아,1828
2024,4,루마니아,2159
2024,5,루마니아,1637
2024,6,루마니아,1188
2024,7,루마니아,1163
2024,8,루마니아,1378
2024,9,루마니아,1584
2024,10,루마니아,1993
2024,11,루마니아,1096
2024,12,루마니아,842
2023,1,룩셈부르크,32
2023,2,룩셈부르크,58
2023,3,룩셈부르크,97
2023,4,룩셈부르크,201
2023,5,룩셈부르크,142
2023,6,룩셈부르크,44
2023,7,룩셈부르크,153
2023,8,룩셈부르크,369
2023,9,룩셈부르크,91
2023,10,룩셈부르크,98
2023,11,룩셈부르크,76
2023,12,룩셈부르크,96
2024,1,룩셈부르크,50
2024,2,룩셈부르크,56
2024,3,룩셈부르크,171
2024,4,룩셈부르크,202
2024,5,룩셈부르크,113
2024,6,룩셈부르크,77
2024,7,룩셈부르크,161
2024,8,룩셈부르크,230
2024,9,룩셈부르크,148
2024,10,룩셈부르크,158
2024,11,룩셈부르크,98
2024,12,룩셈부르크,77
2023,1,르완다,29
2023,2,르완다,30
2023,3,르완다,46
2023,4,르완다,24
2023,5,르완다,26
2023,6,르완다,56
2023,7,르완다,66
2023,8,르완다,121
2023,9,르완다,125
2023,10,르완다,72
2023,11,르완다,26
2023,12,르완다,29
2024,1,르완다,37
2024,2,르완다,67
2024,3,르완다,66
2024,4,르완다,26
2024,5,르완다,77
2024,6,르완다,64
2024,7,르완다,55
2024,8,르완다,165
2024,9,르완다,121
2024,10,르완다,69
2024,11,르완다,66
2024,12,르완다,31
2023,1,리비아,105
2023,2,리비아,142
2023,3,리비아,91
2023,4,리비아,146
2023,5,리비아,245
2023,6,리비아,97
2023,7,리비아,229
2023,8,리비아,206
2023,9,리비아,203
2023,10,리비아,187
2023,11,리비아,138
2023,12,리비아,122
2024,1,리비아,124
2024,2,리비아,178
2024,3,리비아,118
2024,4,리비아,198
2024,5,리비아,186
2024,6,리비아,135
2024,7,리비아,201
2024,8,리비아,205
2024,9,리비아,182
2024,10,리비아,240
2024,11,리비아,180
2024,12,리비아,186
2023,1,리투아니아,113
2023,2,리투아니아,137
2023,3,리투아니아,349
2023,4,리투아니아,351
2023,5,리투아니아,238
2023,6,리투아니아,248
2023,7,리투아니아,279
2023,8,리투아니아,259
2023,9,리투아니아,340
2023,10,리투아니아,459
2023,11,리투아니아,302
2023,12,리투아니아,204
2024,1,리투아니아,182
2024,2,리투아니아,221
2024,3,리투아니아,542
2024,4,리투아니아,522
2024,5,리투아니아,486
2024,6,리투아니아,371
2024,7,리투아니아,323
2024,8,리투아니아,400
2024,9,리투아니아,446
2024,10,리투아니아,591
2024,11,리투아니아,432
2024,12,리투아니아,239
2023,1,리히텐슈타인,4
2023,2,리히텐슈타인,3
2023,3,리히텐슈타인,3
2023,4,리히텐슈타인,13
2023,5,리히텐슈타인,3
2023,6,리히텐슈타인,5
2023,7,리히텐슈타인,76
2023,8,리히텐슈타인,6
2023,9,리히텐슈타인,5
2023,10,리히텐슈타인,12
2023,11,리히텐슈타인,2
2023,12,리히텐슈타인,4
2024,1,리히텐슈타인,6
2024,2,리히텐슈타인,3
2024,4,리히텐슈타인,6
2024,5,리히텐슈타인,18
2024,6,리히텐슈타인,7
2024,7,리히텐슈타인,5
2024,8,리히텐슈타인,6
2024,9,리히텐슈타인,8
2024,10,리히텐슈타인,19
2024,11,리히텐슈타인,1
2024,12,리히텐슈타인,5
2023,1,마다가스카르,4
2023,2,마다가스카르,11
2023,3,마다가스카르,54
2023,4,마다가스카르,12
2023,5,마다가스카르,205
2023,6,마다가스카르,223
2023,7,마다가스카르,201
2023,8,마다가스카르,287
2023,9,마다가스카르,190
2023,10,마다가스카르,268
2023,11,마다가스카르,151
2023,12,마다가스카르,5
2024,1,마다가스카르,8
2024,2,마다가스카르,22
2024,3,마다가스카르,134
2024,4,마다가스카르,945
2024,5,마다가스카르,203
2024,6,마다가스카르,166
2024,7,마다가스카르,84
2024,8,마다가스카르,142
2024,9,마다가스카르,212
2024,10,마다가스카르,145
2024,11,마다가스카르,113
2024,12,마다가스카르,17
2023,1,마샬군도,4
2023,2,마샬군도,4
2023,3,마샬군도,4
2023,4,마샬군도,15
2023,5,마샬군도,23
2023,6,마샬군도,16
2023,7,마샬군도,14
2023,8,마샬군도,14
2023,9,마샬군도,22
2023,10,마샬군도,15
2023,11,마샬군도,8
2023,12,마샬군도,12
2024,1,마샬군도,8
2024,2,마샬군도,6
2024,3,마샬군도,20
2024,4,마샬군도,7
2024,5,마샬군도,27
2024,6,마샬군도,11
2024,7,마샬군도,14
2024,8,마샬군도,11
2024,9,마샬군도,12
2024,10,마샬군도,12
2024,11,마샬군도,19
2024,12,마샬군도,19
2023,1,마카오,251
2023,2,마카오,351
2023,3,마카오,818
2023,4,마카오,1430
2023,5,마카오,1951
2023,6,마카오,2256
2023,7,마카오,3541
2023,8,마카오,4420
2023,9,마카오,2238
2023,10,마카오,2644
2023,11,마카오,2947
2023,12,마카오,4754
2024,1,마카오,1598
2024,2,마카오,3421
2024,3,마카오,3691
2024,4,마카오,2808
2024,5,마카오,2922
2024,6,마카오,3198
2024,7,마카오,5757
2024,8,마카오,6541
2024,9,마카오,2826
2024,10,마카오,3305
2024,11,마카오,3618
2024,12,마카오,5762
2023,1,마케도니아,1
2023,2,마케도니아,4
2023,3,마케도니아,10
2023,4,마케도니아,14
2023,5,마케도니아,9
2023,6,마케도니아,10
2023,7,마케도니아,12
2023,8,마케도니아,4
2023,9,마케도니아,12
2023,10,마케도니아,25
2023,11,마케도니아,15
2023,12,마케도니아,3
2024,1,마케도니아,4
2024,3,마케도니아,9
2024,4,마케도니아,8
2024,5,마케도니아,1
2024,6,마케도니아,7
2024,7,마케도니아,11
2024,8,마케도니아,9
2024,10,마케도니아,9
2024,11,마케도니아,4
2024,12,마케도니아,6
2023,1,말라위,10
2023,2,말라위,9
2023,3,말라위,9
2023,4,말라위,49
2023,5,말라위,11
2023,6,말라위,15
2023,7,말라위,20
2023,8,말라위,20
2023,9,말라위,16
2023,10,말라위,12
2023,11,말라위,7
2023,12,말라위,4
2024,1,말라위,13
2024,2,말라위,11
2024,3,말라위,10
2024,4,말라위,19
2024,5,말라위,38
2024,6,말라위,48
2024,7,말라위,13
2024,8,말라위,30
2024,9,말라위,22
2024,10,말라위,11
2024,11,말라위,13
2024,12,말라위,4
2023,1,말레이시아,11190
2023,2,말레이시아,16586
2023,3,말레이시아,23644
2023,4,말레이시아,25770
2023,5,말레이시아,21635
2023,6,말레이시아,15882
2023,7,말레이시아,11457
2023,8,말레이시아,15639
2023,9,말레이시아,21964
2023,10,말레이시아,33466
2023,11,말레이시아,30662
2023,12,말레이시아,33208
2024,1,말레이시아,17017
2024,2,말레이시아,29679
2024,3,말레이시아,25412
2024,4,말레이시아,32137
2024,5,말레이시아,27509
2024,6,말레이시아,16250
2024,7,말레이시아,12393
2024,8,말레이시아,13042
2024,9,말레이시아,29500
2024,10,말레이시아,37176
2024,11,말레이시아,30766
2024,12,말레이시아,31528
2023,1,말리,15
2023,2,말리,6
2023,3,말리,8
2023,4,말리,11
2023,5,말리,14
2023,6,말리,9
2023,7,말리,16
2023,8,말리,13
2023,9,말리,16
2023,10,말리,16
2023,11,말리,7
2023,12,말리,5
2024,1,말리,8
2024,2,말리,9
2024,3,말리,10
2024,4,말리,12
2024,5,말리,12
2024,6,말리,11
2024,7,말리,20
2024,8,말리,16
2024,9,말리,17
2024,10,말리,11
2024,11,말리,16
2024,12,말리,9
2023,1,멕시코,844
2023,2,멕시코,880
2023,3,멕시코,1458
2023,4,멕시코,2547
2023,5,멕시코,1766
2023,6,멕시코,1601
2023,7,멕시코,2886
2023,8,멕시코,2158
2023,9,멕시코,2177
2023,10,멕시코,2681
2023,11,멕시코,2018
2023,12,멕시코,1557
2024,1,멕시코,1272
2024,2,멕시코,1362
2024,3,멕시코,3108
2024,4,멕시코,2964
2024,5,멕시코,2489
2024,6,멕시코,2586
2024,7,멕시코,3950
2024,8,멕시코,8233
2024,9,멕시코,8382
2024,10,멕시코,10485
2024,11,멕시코,8068
2024,12,멕시코,5524
2023,3,모나코,3
2023,4,모나코,6
2023,5,모나코,2
2023,7,모나코,3
2023,8,모나코,7
2023,9,모나코,1
2023,10,모나코,5
2023,11,모나코,2
2023,12,모나코,8
2024,1,모나코,4
2024,2,모나코,1
2024,3,모나코,6
2024,4,모나코,7
2024,5,모나코,5
2024,7,모나코,9
2024,8,모나코,3
2024,9,모나코,3
2024,10,모나코,2
2024,11,모나코,6
2023,1,모로코,211
2023,2,모로코,294
2023,3,모로코,270
2023,4,모로코,262
2023,5,모로코,422
2023,6,모로코,317
2023,7,모로코,421
2023,8,모로코,646
2023,9,모로코,403
2023,10,모로코,442
2023,11,모로코,362
